nume_normalizat,nume,anexe,regimuri,coduri,nr_randuri,randuri
grefier grefier statistician grefier documentarist grefier arhivar grefier registrator treapta ii,"Grefier, grefier-statistician, grefier-documentarist, grefier arhivar, grefier registrator, treaptă II",V,,52.00101011.05.1|52.00101011.05.2|52.00101011.05.3|52.00101011.05.4|52.00101011.05.5,5,V CII!29|V CII!30|V CII!31|V CII!32|V CII!33
grefier registrator,grefier registrator,V,,52.00101007.07.1|52.00101007.07.2|52.00101007.07.3|52.00101007.07.4|52.00101007.07.5|52.00101008.07.1|52.00101008.07.2|52.00101008.07.3|52.00101008.07.4|52.00101008.07.5|52.00101009.07.1,11,V CII!13|V CII!14|V CII!15|V CII!16|V CII!17|V CII!18|V CII!19|V CII!20|V CII!21|V CII!22|V CII!23
grefier registrator treapta i,"grefier registrator, treaptă I",V,,52.00101010.05.1|52.00101010.05.2|52.00101010.05.3|52.00101010.05.4|52.00101010.05.5,5,V CII!24|V CII!25|V CII!26|V CII!27|V CII!28
grefier sef,grefier - şef,V,,52.00101001.05.1|52.00101005.05.1,2,V CII!8|V CII!10
grefier sef cabinet,grefier-şef cabinet,V,,52.00101001.05.1|52.00101006.01.1,2,V CII!8|V CII!11
grefier sef sectie,grefier-şef secţie,V,,52.00101001.05.1|52.00101005.05.1,2,V CII!8|V CII!10
grefier sef serviciu,Grefier-şef serviciu,V,,52.00101002.03.1|52.00101006.01.1,2,V CII!9|V CII!11
grefier statistician,grefier-statistician,V,,52.00101007.07.1|52.00101007.07.2|52.00101007.07.3|52.00101007.07.4|52.00101007.07.5|52.00101008.07.1|52.00101008.07.2|52.00101008.07.3|52.00101008.07.4|52.00101008.07.5|52.00101009.07.1|52.00101010.05.1|52.00101010.05.2|52.00101010.05.3|52.00101010.05.4|52.00101010.05.5,16,V CII!13|V CII!14|V CII!15|V CII!16|V CII!17|V CII!18|V CII!19|V CII!20|V CII!21|V CII!22|V CII!23|V CII!24|V CII!25|V CII!26|V CII!27|V CII!28
grt,GRT,VIII,personal contractual,,1,VIII CII E!13
guard,guard,VIII,personal contractual,82.40302007.07.1|82.60128013.07.1,5,VIII CII A 3_local1!50|VIII CII A 3_local2!50|VIII CII A 3_local3!51|VIII CII A 3_local4!52|VIII CII C!24
impresar artistic pictor consultant artistic producator delegat sufleor,"Impresar artistic, pictor, consultant-artistic, producător-delegat, sufleor",III,,31.00201005.05.1|31.00201005.05.2|31.00201005.05.3|31.00201005.05.4|31.00202005.05.1|31.00202005.05.2|31.00202005.05.3|31.00202005.05.4,8,III CI !34|III CI !35|III CI !36|III CI !37|III CI !89|III CI !90|III CI !91|III CI !92
infirmiera,Infirmieră,II,,21.00304001.01.1,1,II CI 3!65
infirmiera agent ddd,"Infirmieră, agent DDD",II,,21.00209001.02.1|21.00209002.02.1,2,II CI 2!80|II CI 2!81
infirmiera debutanta,Infirmieră debutantă,II,,21.00304002.01.1,1,II CI 3!66
informatician,Informatician,I|V|VIII,personal contractual,11.00601002.02.1|11.00601002.02.2|11.00601002.02.3|11.00601002.02.4|56.00201013.02.1|56.00201014.02.1|56.00201015.02.1|56.00201016.02.1|82.40208002.02.1|82.40208002.02.2|82.40208002.02.3|82.40208002.02.4,12,I CI 4-5-6!152|I CI 4-5-6!153|I CI 4-5-6!154|I CI 4-5-6!155|V CVInef!24|V CVInef!25|V CVInef!26|V CVInef!27|VIII CII B!70|VIII CII B!71|VIII CII B!72|VIII CII B!73
informatician analist programator,"Informatician, analist programator",I,,11.00601008.02.1|11.00601008.02.2|11.00601008.02.3|11.00601008.02.4|11.00601014.02.1|11.00601014.02.2|11.00601014.02.3|11.00601014.02.4,8,I CI 4-5-6!184|I CI 4-5-6!185|I CI 4-5-6!186|I CI 4-5-6!187|I CI 4-5-6!212|I CI 4-5-6!213|I CI 4-5-6!214|I CI 4-5-6!215
inginer,Inginer,VIII,personal contractual,82.40202003.02.1|82.40202003.02.2|82.40202003.02.3|82.40202003.02.4,8,VIII CII B!24|VIII CII B!25|VIII CII B!26|VIII CII B!27|VIII CII G!12|VIII CII G!13|VIII CII G!14|VIII CII G!15
inginer de aviatie,Inginer de aviaţie,VIII,personal contractual,,5,VIII CII F!53|VIII CII F!54|VIII CII F!55|VIII CII F!56|VIII CII F!57
inginer de sistem,inginer de sistem,VIII,personal contractual,82.40208001.03.1|82.40208001.03.2|82.40208001.03.3|82.40208001.03.4,4,VIII CII B!66|VIII CII B!67|VIII CII B!68|VIII CII B!69
inginer medic chimist,"Inginer* , medic, chimist",VIII,personal contractual,82.40124005.05.1|82.40124006.04.1|82.40124007.04.1|82.40124008.04.1,4,VIII CII A 1!228|VIII CII A 1!229|VIII CII A 1!230|VIII CII A 1!231
inginer receptie si control,Inginer recepţie şi control,VIII,personal contractual,,3,VIII CII F!47|VIII CII F!48|VIII CII F!49
inginer sef,inginer-șef,VII|VIII,funcționar public|personal contractual,81.10103004.12.2|82.40201004.05.2|82.50125004.04.2|82.60127004.04.2,9,VII CI !14|VII CI !29|VIII_CI_A_1!18|VIII CII A 2!14|VIII CII A 3_local1!12|VIII CII A 3_local2!12|VIII CII A 3_local3!13|VIII CII A 3_local4!14|VIII CII B!12
ingrijitoare spalatoreasa,"Îngrijitoare, spălătoreasă",II,,21.00304005.02.1,1,II CI 3!69
ingrijitor,Îngrijitor,VIII,personal contractual,82.40302009.01.1|82.40302009.01.2|82.60128015.01.1|82.60128015.01.2,10,VIII CII A 3_local1!52|VIII CII A 3_local1!53|VIII CII A 3_local2!52|VIII CII A 3_local2!53|VIII CII A 3_local3!53|VIII CII A 3_local3!54|VIII CII A 3_local4!54|VIII CII A 3_local4!55|VIII CII C!27|VIII CII C!28
ingrijitor animale de experienta,Îngrijitor animale de experienţa,VIII,personal contractual,82.40124021.01.1,1,VIII CII A 1!244
inspector,Inspector,VIII,funcționar public|personal contractual,81.20108002.04.1|81.20108002.04.2|81.20108002.04.3|81.20108002.04.4|81.30111002.04.1|81.30111002.04.2|81.30111002.04.3|81.30111002.04.4|82.50126004.09.1|82.50126004.09.2|82.50126004.09.3|82.50126004.09.4|82.50126005.03.1|82.50126005.03.2|82.50126005.03.3|82.50126005.03.4|82.60128004.09.1|82.60128004.09.2|82.60128004.09.3|82.60128004.09.4|82.60128005.04.1|82.60128005.04.2|82.60128005.04.3|82.60128005.04.4,64,VIII_CI_A_1!29|VIII_CI_A_1!30|VIII_CI_A_1!31|VIII_CI_A_1!32|VIII_CI_A_2!20|VIII_CI_A_2!21|VIII_CI_A_2!22|VIII_CI_A_2!23|VIII CI A 3 (local1)!24|VIII CI A 3 (local1)!25|VIII CI A 3 (local1)!26|VIII CI A 3 (local1)!27|VIII CI A 3 (local2)!23|VIII CI A 3 (local2)!24|VIII CI A 3 (local2)!25|VIII CI A 3 (local2)!26|VIII CI A 3 (local3)!23|VIII CI A 3 (local3)!24|VIII CI A 3 (local3)!25|VIII CI A 3 (local3)!26|VIII CI A 3 (local4)!23|VIII CI A 3 (local4)!24|VIII CI A 3 (local4)!25|VIII CI A 3 (local4)!26|VIII CII A 2!29|VIII CII A 2!30|VIII CII A 2!31|VIII CII A 2!32|VIII CII A 2!33|VIII CII A 2!34|VIII CII A 2!35|VIII CII A 2!36|VIII CII A 3_local1!27|VIII CII A 3_local1!28|VIII CII A 3_local1!29|VIII CII A 3_local1!30|VIII CII A 3_local1!31|VIII CII A 3_local1!32|VIII CII A 3_local1!33|VIII CII A 3_local1!34
inspector aeronautic,Inspector aeronautic,VIII,personal contractual,,2,VIII CII F!76|VIII CII F!77
inspector antifrauda,Inspector antifrauda,VIII,funcționar public,81.10105009.04.1|81.10105009.04.2|81.10105009.04.3|81.10105009.04.4,4,VIII_CI_A_1!54|VIII_CI_A_1!55|VIII_CI_A_1!56|VIII_CI_A_1!57
inspector casier,inspector casier,VIII,personal contractual,82.50126002.07.1|82.50126002.07.2|82.50126002.07.3|82.50126002.07.4|82.60128002.07.1|82.60128002.07.2|82.60128002.07.3|82.60128002.07.4,20,VIII CII A 2!21|VIII CII A 2!22|VIII CII A 2!23|VIII CII A 2!24|VIII CII A 3_local1!19|VIII CII A 3_local1!20|VIII CII A 3_local1!21|VIII CII A 3_local1!22|VIII CII A 3_local2!19|VIII CII A 3_local2!20|VIII CII A 3_local2!21|VIII CII A 3_local2!22|VIII CII A 3_local3!20|VIII CII A 3_local3!21|VIII CII A 3_local3!22|VIII CII A 3_local3!23|VIII CII A 3_local4!21|VIII CII A 3_local4!22|VIII CII A 3_local4!23|VIII CII A 3_local4!24
inspector de concurenta,Inspector de concurenţă,VIII,personal contractual,82.40117001.01.1|82.40117002.01.1|82.40117003.01.1|82.40117004.01.1,4,VIII CII A 1!180|VIII CII A 1!181|VIII CII A 1!182|VIII CII A 1!183
inspector de control,Inspector de control,V,,56.00201001.02.1|56.00201002.02.1|56.00201003.02.1|56.00201004.02.1,4,V CVInef!16|V CVInef!17|V CVInef!18|V CVInef!19
inspector de integritate,Inspector de integritate,VIII,personal contractual,82.40121001.01.1|82.40121001.01.2|82.40121001.01.3|82.40121001.01.4,4,VIII CII A 1!206|VIII CII A 1!207|VIII CII A 1!208|VIII CII A 1!209
inspector de munca,Inspector de muncă,VIII,funcționar public,81.10105009.04.1|81.10105009.04.2|81.10105009.04.3|81.10105009.04.4|81.20109001.03.1|81.20109001.03.2|81.20109001.03.3|81.20109001.03.4,8,VIII_CI_A_1!50|VIII_CI_A_1!51|VIII_CI_A_1!52|VIII_CI_A_1!53|VIII_CI_A_2!33|VIII_CI_A_2!34|VIII_CI_A_2!35|VIII_CI_A_2!36
inspector de politie,inspector de poliţie,VI,,,1,VI_Armata!21
inspector de probatiune gradul i,Inspector de probațiune gradul I,V,,57.00101007.01.1|57.00101007.01.2|57.00101007.01.3|57.00101007.01.4,4,V CVII!13|V CVII!14|V CVII!15|V CVII!16
inspector de probatiune gradul ii,Inspector de probațiune gradul II,V,,57.00101008.01.1|57.00101008.01.2|57.00101008.01.3|57.00101008.01.4|57.00101008.01.5,5,V CVII!17|V CVII!18|V CVII!19|V CVII!20|V CVII!21
inspector de specialitate,inspector de specialitate,VIII,personal contractual,82.40202002.04.1|82.40202002.04.2|82.40202002.04.3|82.40202002.04.4|82.50126002.07.1|82.50126002.07.2|82.50126002.07.3|82.50126002.07.4|82.60128002.07.1|82.60128002.07.2|82.60128002.07.3|82.60128002.07.4,24,VIII CII A 2!21|VIII CII A 2!22|VIII CII A 2!23|VIII CII A 2!24|VIII CII A 3_local1!19|VIII CII A 3_local1!20|VIII CII A 3_local1!21|VIII CII A 3_local1!22|VIII CII A 3_local2!19|VIII CII A 3_local2!20|VIII CII A 3_local2!21|VIII CII A 3_local2!22|VIII CII A 3_local3!20|VIII CII A 3_local3!21|VIII CII A 3_local3!22|VIII CII A 3_local3!23|VIII CII A 3_local4!21|VIII CII A 3_local4!22|VIII CII A 3_local4!23|VIII CII A 3_local4!24|VIII CII B!20|VIII CII B!21|VIII CII B!22|VIII CII B!23
inspector de specialitate expert inginer,"Inspector de specialitate, expert, inginer",VIII,personal contractual,,4,VIII CII H!10|VIII CII H!11|VIII CII H!12|VIII CII H!13
inspector de stat sef adjunct,inspector de stat şef adjunct,VIII,funcționar public,81.10103002.05.2|81.20107002.04.2,2,VIII_CI_A_1!16|VIII_CI_A_2!11
inspector de urmarire si administrare bunuri,inspector de urmărire și administrare bunuri,VIII,funcționar public,81.10105009.04.1|81.10105009.04.2|81.10105009.04.3|81.10105009.04.4,4,VIII_CI_A_1!54|VIII_CI_A_1!55|VIII_CI_A_1!56|VIII_CI_A_1!57
inspector general de stat,Inspector general de stat,VIII,funcționar public,,1,VIII_CI_A_1!11
inspector general de stat adj,Inspector general de stat adj,VIII,funcționar public,,1,VIII_CI_A_1!12
inspector general de stat adjunct,inspector general de stat adjunct,VIII,funcționar public,81.20107002.04.2,1,VIII_CI_A_2!11
inspector pilotaj,Inspector pilotaj,VIII,personal contractual,,2,VIII CII F!50|VIII CII F!51
inspector principal de politie,inspector principal de poliţie,VI,,,1,VI_Armata!20
inspector scolar de specialitate inspector scolar,"Inspector şcolar de specialitate, inspector şcolar",I,,11.00201004.02.2,1,I CI 1-3!18
inspector scolar general,Inspector şcolar general,I,,11.00201001.01.2,1,I CI 1-3!15
inspector scolar general adjunct,Inspector şcolar general adjunct,I,,11.00201002.01.2,1,I CI 1-3!16
inspector sef,inspector şef,VIII,funcționar public|personal contractual,81.10103003.09.2|81.20107003.06.2|82.40201004.05.2|82.50125003.04.2|82.60127003.04.2,8,VIII_CI_A_1!17|VIII_CI_A_2!12|VIII CII A 2!13|VIII CII A 3_local1!11|VIII CII A 3_local2!11|VIII CII A 3_local3!12|VIII CII A 3_local4!13|VIII CII B!12
inspector sef adjunct,inspector şef adjunct,VIII,funcționar public|personal contractual,81.10103004.12.2|81.20107004.09.2|82.50125004.04.2|82.60127004.04.2,7,VIII_CI_A_1!18|VIII_CI_A_2!13|VIII CII A 2!14|VIII CII A 3_local1!12|VIII CII A 3_local2!12|VIII CII A 3_local3!13|VIII CII A 3_local4!14
inspector sef de stat,inspector şef de stat,VIII,funcționar public,81.10103001.05.2,1,VIII_CI_A_1!15
inspector social,inspector social,VIII,funcționar public,81.10105009.04.1|81.10105009.04.2|81.10105009.04.3|81.10105009.04.4|81.20109001.03.1|81.20109001.03.2|81.20109001.03.3|81.20109001.03.4,8,VIII_CI_A_1!50|VIII_CI_A_1!51|VIII_CI_A_1!52|VIII_CI_A_1!53|VIII_CI_A_2!33|VIII_CI_A_2!34|VIII_CI_A_2!35|VIII_CI_A_2!36
inspector specialist,Inspector specialist,V,,56.00201009.01.1|56.00201010.01.1|56.00201011.01.1|56.00201012.01.1,4,V CVInef!20|V CVInef!21|V CVInef!22|V CVInef!23
inspector vamal,Inspector vamal,VIII,funcționar public,81.10105009.04.1|81.10105009.04.2|81.10105009.04.3|81.10105009.04.4,4,VIII_CI_A_1!54|VIII_CI_A_1!55|VIII_CI_A_1!56|VIII_CI_A_1!57
institutor,Institutor,I,,11.00501009.02.1|11.00501009.02.2|11.00501009.02.3|11.00501009.02.4|11.00501009.02.5|11.00501010.02.1|11.00501010.02.2|11.00501010.02.3|11.00501010.02.4|11.00501010.02.5|11.00501010.02.6|11.00501011.02.1|11.00501011.02.2|11.00501011.02.3|11.00501011.02.4|11.00501011.02.5|11.00501011.02.6|11.00501012.02.1|11.00501013.02.1|11.00501013.02.2|11.00501013.02.3|11.00501013.02.4|11.00501013.02.5|11.00501014.02.1|11.00501014.02.2|11.00501014.02.3|11.00501014.02.4|11.00501014.02.5|11.00501014.02.6|11.00501015.02.1|11.00501015.02.2|11.00501015.02.3|11.00501015.02.4|11.00501015.02.5|11.00501015.02.6|11.00501016.02.1,36,I CI 4-5-6!70|I CI 4-5-6!71|I CI 4-5-6!72|I CI 4-5-6!73|I CI 4-5-6!74|I CI 4-5-6!75|I CI 4-5-6!76|I CI 4-5-6!77|I CI 4-5-6!78|I CI 4-5-6!79|I CI 4-5-6!80|I CI 4-5-6!81|I CI 4-5-6!82|I CI 4-5-6!83|I CI 4-5-6!84|I CI 4-5-6!85|I CI 4-5-6!86|I CI 4-5-6!87|I CI 4-5-6!88|I CI 4-5-6!89|I CI 4-5-6!90|I CI 4-5-6!91|I CI 4-5-6!92|I CI 4-5-6!93|I CI 4-5-6!94|I CI 4-5-6!95|I CI 4-5-6!96|I CI 4-5-6!97|I CI 4-5-6!98|I CI 4-5-6!99|I CI 4-5-6!100|I CI 4-5-6!101|I CI 4-5-6!102|I CI 4-5-6!103|I CI 4-5-6!104|I CI 4-5-6!105
instructor,Instructor,I|VIII,personal contractual,11.00601021.02.1|11.00601021.02.2|11.00601021.02.3|82.40205002.01.1|82.40205002.01.2|82.40205002.01.3|82.40205002.01.4,8,I CI 4-5-6!240|I CI 4-5-6!241|I CI 4-5-6!242|I CI 4-5-6!243|VIII CII B!48|VIII CII B!49|VIII CII B!50|VIII CII B!51
instructor animator,Instructor-animator,I,,11.00601005.03.1|11.00601005.03.2|11.00601005.03.3|11.00601011.03.1|11.00601011.03.2|11.00601011.03.3|11.00601017.02.1|11.00601017.02.2|11.00601017.02.3|11.00601017.02.4,12,I CI 4-5-6!164|I CI 4-5-6!165|I CI 4-5-6!166|I CI 4-5-6!167|I CI 4-5-6!196|I CI 4-5-6!197|I CI 4-5-6!198|I CI 4-5-6!199|I CI 4-5-6!224|I CI 4-5-6!225|I CI 4-5-6!226|I CI 4-5-6!227
instructor de educatie extrascolara,instructor de educaţie extraşcolară,I,,11.00601005.03.1|11.00601005.03.2|11.00601005.03.3|11.00601011.03.1|11.00601011.03.2|11.00601011.03.3,8,I CI 4-5-6!168|I CI 4-5-6!169|I CI 4-5-6!170|I CI 4-5-6!171|I CI 4-5-6!196|I CI 4-5-6!197|I CI 4-5-6!198|I CI 4-5-6!199
instructor de educatie instructor cfm,"Instructor de educaţie, instructor CFM",II,,21.00303032.02.1|21.00303033.02.1|21.00303034.02.1,3,II CI 3!46|II CI 3!47|II CI 3!48
instructor de ergoterapie art terapeut animator socio educativ pedagog de recuperare,"Instructor de ergoterapie, art terapeut, animator socio-educativ, pedagog de recuperare",II,,21.00303035.04.1|21.00303036.04.1|21.00303037.04.1|21.00303038.04.1|21.00303039.04.1|21.00303040.04.1,6,II CI 3!49|II CI 3!50|II CI 3!51|II CI 3!52|II CI 3!53|II CI 3!54
instructor educatie extrascolara,instructor educaţie extraşcolară,I,,11.00601017.02.1|11.00601017.02.2|11.00601017.02.3|11.00601017.02.4,4,I CI 4-5-6!224|I CI 4-5-6!225|I CI 4-5-6!226|I CI 4-5-6!227
instructor parasutism,Instructor paraşutism,VIII,personal contractual,,3,VIII CII F!38|VIII CII F!39|VIII CII F!40
instructor sef de zbor,Instructor șef de zbor,VIII,personal contractual,,1,VIII CII F!16
instructor sef zbor sintetic,Instructor șef zbor sintetic,VIII,personal contractual,,1,VIII CII F!16
instructor sportiv,Instructor sportiv,VIII,personal contractual,82.40401002.01.1|82.40401002.01.2|82.40401002.01.3|82.40402003.02.1|82.40402003.02.2|82.40402003.02.3|82.40402003.02.4,7,VIII CII D!14|VIII CII D!15|VIII CII D!16|VIII CII D!17|VIII CII D!18|VIII CII D!19|VIII CII D!20
interpret profesional,interpret profesional,VIII,personal contractual,82.50126004.09.1|82.50126004.09.2|82.50126004.09.3|82.50126004.09.4|82.60128004.09.1|82.60128004.09.2|82.60128004.09.3|82.60128004.09.4,20,VIII CII A 2!29|VIII CII A 2!30|VIII CII A 2!31|VIII CII A 2!32|VIII CII A 3_local1!27|VIII CII A 3_local1!28|VIII CII A 3_local1!29|VIII CII A 3_local1!30|VIII CII A 3_local2!27|VIII CII A 3_local2!28|VIII CII A 3_local2!29|VIII CII A 3_local2!30|VIII CII A 3_local3!28|VIII CII A 3_local3!29|VIII CII A 3_local3!30|VIII CII A 3_local3!31|VIII CII A 3_local4!29|VIII CII A 3_local4!30|VIII CII A 3_local4!31|VIII CII A 3_local4!32
interpret relatii,interpret relaţii,VIII,personal contractual,82.50126004.09.1|82.50126004.09.2|82.50126004.09.3|82.50126004.09.4|82.60128004.09.1|82.60128004.09.2|82.60128004.09.3|82.60128004.09.4,20,VIII CII A 2!29|VIII CII A 2!30|VIII CII A 2!31|VIII CII A 2!32|VIII CII A 3_local1!27|VIII CII A 3_local1!28|VIII CII A 3_local1!29|VIII CII A 3_local1!30|VIII CII A 3_local2!27|VIII CII A 3_local2!28|VIII CII A 3_local2!29|VIII CII A 3_local2!30|VIII CII A 3_local3!28|VIII CII A 3_local3!29|VIII CII A 3_local3!30|VIII CII A 3_local3!31|VIII CII A 3_local4!29|VIII CII A 3_local4!30|VIII CII A 3_local4!31|VIII CII A 3_local4!32
invatator,Învăţător,I,,11.00501017.03.1|11.00501017.03.2|11.00501017.03.3|11.00501017.03.4|11.00501017.03.5|11.00501018.03.1|11.00501018.03.2|11.00501018.03.3|11.00501018.03.4|11.00501018.03.5|11.00501018.03.6|11.00501019.03.1|11.00501019.03.2|11.00501019.03.3|11.00501019.03.4|11.00501019.03.5|11.00501019.03.6|11.00501020.03.1|11.00501021.04.1|11.00501021.04.2|11.00501021.04.3|11.00501021.04.4|11.00501021.04.5|11.00501021.04.6|11.00501021.04.7,25,I CI 4-5-6!106|I CI 4-5-6!107|I CI 4-5-6!108|I CI 4-5-6!109|I CI 4-5-6!110|I CI 4-5-6!111|I CI 4-5-6!112|I CI 4-5-6!113|I CI 4-5-6!114|I CI 4-5-6!115|I CI 4-5-6!116|I CI 4-5-6!117|I CI 4-5-6!118|I CI 4-5-6!119|I CI 4-5-6!120|I CI 4-5-6!121|I CI 4-5-6!122|I CI 4-5-6!123|I CI 4-5-6!124|I CI 4-5-6!125|I CI 4-5-6!126|I CI 4-5-6!127|I CI 4-5-6!128|I CI 4-5-6!129|I CI 4-5-6!130
judecator cu grad de curte de apel judecator militar cu grad de curte de apel procuror cu grad profesional de parchet de pe langa aceste instante,"Judecător cu grad de curte de apel, judecător militar cu grad de curte de apel, procuror cu grad profesional de parchet de pe lângă aceste instanţe",V,,51.00101002.01.1|51.00101002.01.2|51.00101002.01.3|51.00101002.01.4,4,V CI A+B!11|V CI A+B!12|V CI A+B!13|V CI A+B!14
judecator cu grad de iccj,Judecator cu grad de ICCJ,V,,51.00101001.01.1|51.00101001.01.2,2,V CI A+B!9|V CI A+B!10
judecator cu grad de judecatorie procuror cu grad de parchet de pe langa judecatorie,"Judecător cu grad de judecătorie, procuror cu grad de parchet de pe lângă judecătorie",V,,51.00101004.01.1|51.00101004.01.2|51.00101004.01.3|51.00101004.01.4|51.00101004.01.5|51.00101004.01.6,6,V CI A+B!19|V CI A+B!20|V CI A+B!21|V CI A+B!22|V CI A+B!23|V CI A+B!24
judecator cu grad de tribunal judecator militar la tribunalul militar procurori cu grad profesional de parchet de pe langa aceste instante,"Judecător cu grad de tribunal, judecător militar la tribunalul militar, procurori cu grad profesional de parchet de pe lângă aceste instanţe",V,,51.00101003.02.1|51.00101003.02.2|51.00101003.02.3|51.00101003.02.4,4,V CI A+B!15|V CI A+B!16|V CI A+B!17|V CI A+B!18
judecator stagiar procuror stagiar,"Judecător stagiar, procuror stagiar",V,,51.00101005.01.1|51.00101005.01.2,2,V CI A+B!25|V CI A+B!26
laborant,laborant,I,,11.00601004.03.1|11.00601004.03.2|11.00601004.03.3|11.00601004.03.4|11.00601020.01.1|11.00601020.01.2|11.00601020.01.3,7,I CI 4-5-6!160|I CI 4-5-6!161|I CI 4-5-6!162|I CI 4-5-6!163|I CI 4-5-6!237|I CI 4-5-6!238|I CI 4-5-6!239
laborant foto retusor foto fotograf,"Laborant foto, retuşor foto, fotograf",III,,34.00201005.03.1|34.00201005.03.2|34.00201005.03.3|34.00201005.03.4,4,III CIV!28|III CIV!29|III CIV!30|III CIV!31
lenjereasa,lenjereasă,VIII,personal contractual,82.60128014.02.1,4,VIII CII A 3_local1!51|VIII CII A 3_local2!51|VIII CII A 3_local3!52|VIII CII A 3_local4!53
licentiat in balneofiziokinetoterapie si recuperare,licenţiat în balneofiziokinetoterapie şi recuperare,II,,21.00201026.11.1|21.00201027.11.1|21.00201028.11.1,3,II CI 2!33|II CI 2!34|II CI 2!35
liderii grupurilor parlamentare ale senatului si camerei deputatilor,Liderii grupurilor parlamentare ale Senatului şi Camerei Deputaţilor,IX,,,1,IX A!15
locotenent comandor,locotenent-comandor,VI,,,1,VI_Armata!19
logoped profesor cfm interpret in limbajul mimico gestual si al limbajului specific persoanelor cu surdocecitate kinetoterapeut psihopedagog terapeut ocupational,"Logoped, profesor CFM, interpret în limbajul mimico-gestual și al limbajului specific persoanelor cu surdocecitate, kinetoterapeut, psihopedagog, terapeut ocupational",II,,21.00303009.06.1|21.00303010.06.1|21.00303011.06.1,3,II CI 3!23|II CI 3!24|II CI 3!25
logoped sociolog asistent social,"Logoped, sociolog, asistent social",II,,21.00205005.05.1|21.00205006.05.1|21.00205007.05.1,3,II CI 2!61|II CI 2!62|II CI 2!63
macaragiu macarale plutitoare,macaragiu macarale plutitoare,VIII,personal contractual,,1,VIII CII E!39
macaragiu macarale plutitoare debutant,"macaragiu macarale plutitoare, debutant",VIII,personal contractual,,1,VIII CII E!40
machior peruchier operator asistent regie,"Machior, peruchier, operator , asistent regie",III,,31.00201006.05.1|31.00201006.05.2|31.00201006.05.3|31.00201006.05.4|31.00202006.05.1|31.00202006.05.2|31.00202006.05.3|31.00202006.05.4,8,III CI !38|III CI !39|III CI !40|III CI !41|III CI !93|III CI !94|III CI !95|III CI !96
maestru maestru specialist sef orchestra,"Maestru , maestru , specialist , șef orchestră",III,,31.00201008.04.1|31.00201008.04.2|31.00201008.04.3|31.00201008.04.4|31.00202008.04.1|31.00202008.04.2|31.00202008.04.3|31.00202008.04.4,8,III CI !46|III CI !47|III CI !48|III CI !49|III CI !101|III CI !102|III CI !103|III CI !104
magaziner,magaziner,VIII,personal contractual,82.40302005.04.1|82.40302005.04.2|82.60128011.02.1|82.60128011.02.2,10,VIII CII A 3_local1!47|VIII CII A 3_local1!48|VIII CII A 3_local2!47|VIII CII A 3_local2!48|VIII CII A 3_local3!48|VIII CII A 3_local3!49|VIII CII A 3_local4!49|VIII CII A 3_local4!50|VIII CII C!21|VIII CII C!22
maistru,Maistru,VIII,personal contractual,82.40302010.01.1|82.40302010.01.2|82.60128016.01.1|82.60128016.01.2,10,VIII CII A 3_local1!54|VIII CII A 3_local1!55|VIII CII A 3_local2!54|VIII CII A 3_local2!55|VIII CII A 3_local3!55|VIII CII A 3_local3!56|VIII CII A 3_local4!56|VIII CII A 3_local4!57|VIII CII C!29|VIII CII C!30
maistru de aviatie,Maistru de aviaţie,VIII,personal contractual,,3,VIII CII F!73|VIII CII F!74|VIII CII F!75
maistru instructor,maistru-instructor,I,,11.00501021.04.1|11.00501021.04.2|11.00501021.04.3|11.00501021.04.4|11.00501021.04.5|11.00501021.04.6|11.00501021.04.7,7,I CI 4-5-6!124|I CI 4-5-6!125|I CI 4-5-6!126|I CI 4-5-6!127|I CI 4-5-6!128|I CI 4-5-6!129|I CI 4-5-6!130
maistru instructor debutant,maistru - instructor debutant,I,,11.00501020.03.1,1,I CI 4-5-6!123
maistru instructor grad didactic definitiv,maistru - instructor grad didactic definitiv,I,,11.00501019.03.1|11.00501019.03.2|11.00501019.03.3|11.00501019.03.4|11.00501019.03.5|11.00501019.03.6,6,I CI 4-5-6!117|I CI 4-5-6!118|I CI 4-5-6!119|I CI 4-5-6!120|I CI 4-5-6!121|I CI 4-5-6!122
maistru instructor grad didactic i,maistru - instructor grad didactic I,I,,11.00501017.03.1|11.00501017.03.2|11.00501017.03.3|11.00501017.03.4|11.00501017.03.5,5,I CI 4-5-6!106|I CI 4-5-6!107|I CI 4-5-6!108|I CI 4-5-6!109|I CI 4-5-6!110
maistru instructor grad didactic ii,maistru - instructor grad didactic II,I,,11.00501018.03.1|11.00501018.03.2|11.00501018.03.3|11.00501018.03.4|11.00501018.03.5|11.00501018.03.6,6,I CI 4-5-6!111|I CI 4-5-6!112|I CI 4-5-6!113|I CI 4-5-6!114|I CI 4-5-6!115|I CI 4-5-6!116
maistru instructor studii superioare lunga durata debutant,"maistru instructor, studii superioare lungă durată debutant",I,,11.00501012.02.1,1,I CI 4-5-6!87
maistru instructor studii superioare lunga durata grad didactic definitiv,"maistru instructor, studii superioare lungă durată grad didactic definitiv",I,,11.00501011.02.1|11.00501011.02.2|11.00501011.02.3|11.00501011.02.4|11.00501011.02.5|11.00501011.02.6,6,I CI 4-5-6!81|I CI 4-5-6!82|I CI 4-5-6!83|I CI 4-5-6!84|I CI 4-5-6!85|I CI 4-5-6!86
