nume_normalizat,nume,anexe,regimuri,coduri,nr_randuri,randuri
auditor intern specialist,Auditor intern specialist,V,,56.00201001.02.1|56.00201002.02.1|56.00201003.02.1|56.00201004.02.1,4,V CVInef!16|V CVInef!17|V CVInef!18|V CVInef!19
auditor public extern consilier juridic asimilat auditorului public extern specialist informatica asimilat auditorului public extern consilier din cabinetul demnitarului din cadrul curtii de conturi a romaniei si autoritatii de audit principal vechimea minima in specialitate 8 ani,"Auditor public extern, consilier juridic asimilat auditorului public extern, specialist informatică asimilat auditorului public extern, consilier din cabinetul demnitarului din cadrul Curţii de Conturi a României şi Autorităţii de Audit - Principal (Vechimea minimă în specialitate 8 ani)",VIII,personal contractual,82.40115002.04.1|82.40115002.04.2|82.40115002.04.3,3,VIII CII A 1!167|VIII CII A 1!168|VIII CII A 1!169
auditor public extern consilier juridic asimilat auditorului public extern specialist informatica asimilat auditorului public extern consilier din cabinetul demnitarului din cadrul curtii de conturi a romaniei si autoritatii de audit superior vechimea minima in specialitate 12 ani,"Auditor public extern, consilier juridic asimilat auditorului public extern, specialist informatică asimilat auditorului public extern, consilier din cabinetul demnitarului din cadrul Curţii de Conturi a României şi Autorităţii de Audit - Superior (Vechimea minimă în specialitate 12 ani)",VIII,personal contractual,82.40115001.04.1|82.40115001.04.2|82.40115001.04.3,3,VIII CII A 1!164|VIII CII A 1!165|VIII CII A 1!166
auditor public extern consilier juridic asimilat auditorului public extern specialist informatica asimilat auditorului public extern consilier din cabinetul demnitarului din cadrul curtii de conturi a romaniei si autoritatii de audit vechimea minima in specialitate 3 ani,"Auditor public extern, consilier juridic asimilat auditorului public extern, specialist informatică asimilat auditorului public extern, consilier din cabinetul demnitarului din cadrul Curţii de Conturi a României şi Autorităţii de Audit - Vechimea minimă în specialitate 3 ani",VIII,personal contractual,82.40115003.04.1|82.40115003.04.2|82.40115003.04.3,3,VIII CII A 1!170|VIII CII A 1!171|VIII CII A 1!172
autopsier,Autopsier,II,,21.00201048.01.1,1,II CI 2!52
autopsier debutant,Autopsier debutant,II,,21.00201049.01.1,1,II CI 2!53
autopsier principal,Autopsier principal,II,,21.00201047.01.1,1,II CI 2!51
avocatul poporului,Avocatul poporului,IX,,,1,IX B!23
bibliograf,bibliograf,I,,11.00601001.02.1|11.00601001.02.2|11.00601001.02.3|11.00601001.02.4|11.00601007.02.1|11.00601007.02.2|11.00601007.02.3|11.00601007.02.4,8,I CI 4-5-6!148|I CI 4-5-6!149|I CI 4-5-6!150|I CI 4-5-6!151|I CI 4-5-6!180|I CI 4-5-6!181|I CI 4-5-6!182|I CI 4-5-6!183
bibliotecar,Bibliotecar,I,,11.00601001.02.1|11.00601001.02.2|11.00601001.02.3|11.00601001.02.4|11.00601007.02.1|11.00601007.02.2|11.00601007.02.3|11.00601007.02.4|11.00601013.02.1|11.00601013.02.2|11.00601013.02.3|11.00601013.02.4,12,I CI 4-5-6!148|I CI 4-5-6!149|I CI 4-5-6!150|I CI 4-5-6!151|I CI 4-5-6!180|I CI 4-5-6!181|I CI 4-5-6!182|I CI 4-5-6!183|I CI 4-5-6!208|I CI 4-5-6!209|I CI 4-5-6!210|I CI 4-5-6!211
bibliotecar arhivist,bibliotecar-arhivist,I,,11.00601001.02.1|11.00601001.02.2|11.00601001.02.3|11.00601001.02.4|11.00601007.02.1|11.00601007.02.2|11.00601007.02.3|11.00601007.02.4,8,I CI 4-5-6!148|I CI 4-5-6!149|I CI 4-5-6!150|I CI 4-5-6!151|I CI 4-5-6!180|I CI 4-5-6!181|I CI 4-5-6!182|I CI 4-5-6!183
bibliotecar bibliotecar arhivist bibliograf redactor tehnoredactor conservator restaurator,"Bibliotecar, bibliotecar-arhivist, bibliograf, redactor, tehnoredactor, conservator, restaurator",III,,32.00201002.07.1|32.00201002.07.2|32.00201002.07.3|32.00201002.07.4|32.00202002.07.1|32.00202002.07.2|32.00202002.07.3|32.00202002.07.4,8,III CII!23|III CII!24|III CII!25|III CII!26|III CII!53|III CII!54|III CII!55|III CII!56
bibliotecar bibliotecar arhivist bibliograf redactor tehnoredactor inginer de sistem documentarist conservator restaurator analist,"Bibliotecar, bibliotecar-arhivist, bibliograf, redactor, tehnoredactor, inginer de sistem, documentarist, conservator, restaurator, analist",III,,32.00201001.10.1|32.00201001.10.2|32.00201001.10.3|32.00201001.10.4|32.00202001.10.1|32.00202001.10.2|32.00202001.10.3|32.00202001.10.4,8,III CII!19|III CII!20|III CII!21|III CII!22|III CII!49|III CII!50|III CII!51|III CII!52
bibliotecar redactor tehnoredactor,"Bibliotecar, redactor, tehnoredactor",III,,32.00201003.03.1|32.00201003.03.2|32.00201003.03.3|32.00201003.03.4|32.00202003.03.1|32.00202003.03.2|32.00202003.03.3|32.00202003.03.4,8,III CII!27|III CII!28|III CII!29|III CII!30|III CII!57|III CII!58|III CII!59|III CII!60
