version_id,anexa,sheet,source_row,cod,coduri,functie,sinonime,regim,tip_post,nivel_administrativ,banda_populatie,grad_treapta,vechime,studii,sectiune,coef_min,coef_max,coeficienti,coef_labels,needs_review
2026-07-17,I,I CI 4-5-6,47,11.00501003.01.3,11.00501003.01.3,"Profesor; educator-puericultor; profesor-antrenor, studii superioare de lungă durată grad didactic definitiv","Profesor|educator-puericultor|profesor-antrenor, studii superioare de lungă durată grad didactic definitiv",,,,,,15-20 ani,S,5. Coeficienți de salarizare învăţământ preuniversitar,1.9708571428571426,1.9708571428571426,1.970857143,Gradația 0,0
2026-07-17,I,I CI 4-5-6,48,11.00501003.01.4,11.00501003.01.4,"Profesor; educator-puericultor; profesor-antrenor, studii superioare de lungă durată grad didactic definitiv","Profesor|educator-puericultor|profesor-antrenor, studii superioare de lungă durată grad didactic definitiv",,,,,,10-15 ani,S,5. Coeficienți de salarizare învăţământ preuniversitar,1.9508571428571426,1.9508571428571426,1.950857143,Gradația 0,0
2026-07-17,I,I CI 4-5-6,49,11.00501003.01.5,11.00501003.01.5,"Profesor; educator-puericultor; profesor-antrenor, studii superioare de lungă durată grad didactic definitiv","Profesor|educator-puericultor|profesor-antrenor, studii superioare de lungă durată grad didactic definitiv",,,,,,5-10 ani,S,5. Coeficienți de salarizare învăţământ preuniversitar,1.9308571428571426,1.9308571428571426,1.930857143,Gradația 0,0
2026-07-17,I,I CI 4-5-6,50,11.00501003.01.6,11.00501003.01.6,"Profesor; educator-puericultor; profesor-antrenor, studii superioare de lungă durată grad didactic definitiv","Profesor|educator-puericultor|profesor-antrenor, studii superioare de lungă durată grad didactic definitiv",,,,,,1-5 ani,S,5. Coeficienți de salarizare învăţământ preuniversitar,1.9108571428571426,1.9108571428571426,1.910857143,Gradația 0,0
2026-07-17,I,I CI 4-5-6,51,11.00501004.01.1,11.00501004.01.1,"Profesor; educator-puericultor; profesor-antrenor ,studii superioare de lungă durată debutant","Profesor|educator-puericultor|profesor-antrenor ,studii superioare de lungă durată debutant",,,,,,până la 1 an,S,5. Coeficienți de salarizare învăţământ preuniversitar,1.9,1.9,1.9,Gradația 0,0
2026-07-17,I,I CI 4-5-6,52,11.00501005.01.1,11.00501005.01.1,"Profesor; educator-puericultor; profesor-antrenor, studii superioare de scurtă durată grad didactic I","Profesor|educator-puericultor|profesor-antrenor, studii superioare de scurtă durată grad didactic I",,,,,,peste 25 de ani,SSD,5. Coeficienți de salarizare învăţământ preuniversitar,2.15985,2.15985,2.15985,Gradația 0,0
2026-07-17,I,I CI 4-5-6,53,11.00501005.01.2,11.00501005.01.2,"Profesor; educator-puericultor; profesor-antrenor, studii superioare de scurtă durată grad didactic I","Profesor|educator-puericultor|profesor-antrenor, studii superioare de scurtă durată grad didactic I",,,,,,20-25 ani,SSD,5. Coeficienți de salarizare învăţământ preuniversitar,2.12245,2.12245,2.12245,Gradația 0,0
2026-07-17,I,I CI 4-5-6,54,11.00501005.01.3,11.00501005.01.3,"Profesor; educator-puericultor; profesor-antrenor, studii superioare de scurtă durată grad didactic I","Profesor|educator-puericultor|profesor-antrenor, studii superioare de scurtă durată grad didactic I",,,,,,15-20 ani,SSD,5. Coeficienți de salarizare învăţământ preuniversitar,2.0492,2.0492,2.0492,Gradația 0,0
2026-07-17,I,I CI 4-5-6,55,11.00501005.01.4,11.00501005.01.4,"Profesor; educator-puericultor; profesor-antrenor, studii superioare de scurtă durată grad didactic I","Profesor|educator-puericultor|profesor-antrenor, studii superioare de scurtă durată grad didactic I",,,,,,10-15 ani,SSD,5. Coeficienți de salarizare învăţământ preuniversitar,1.999,1.999,1.999,Gradația 0,0
2026-07-17,I,I CI 4-5-6,56,11.00501005.01.5,11.00501005.01.5,"Profesor; educator-puericultor; profesor-antrenor, studii superioare de scurtă durată grad didactic I","Profesor|educator-puericultor|profesor-antrenor, studii superioare de scurtă durată grad didactic I",,,,,,5-10 ani,SSD,5. Coeficienți de salarizare învăţământ preuniversitar,1.9250540540540542,1.9250540540540542,1.925054054,Gradația 0,0
2026-07-17,I,I CI 4-5-6,57,11.00501006.01.1,11.00501006.01.1,"Profesor; educator-puericultor; profesor-antrenor, studii superioare de scurtă durată grad didactic II","Profesor|educator-puericultor|profesor-antrenor, studii superioare de scurtă durată grad didactic II",,,,,,peste 25 de ani,SSD,5. Coeficienți de salarizare învăţământ preuniversitar,2.0567199999999994,2.0567199999999994,2.05672,Gradația 0,0
2026-07-17,I,I CI 4-5-6,58,11.00501006.01.2,11.00501006.01.2,"Profesor; educator-puericultor; profesor-antrenor, studii superioare de scurtă durată grad didactic II","Profesor|educator-puericultor|profesor-antrenor, studii superioare de scurtă durată grad didactic II",,,,,,20-25 ani,SSD,5. Coeficienți de salarizare învăţământ preuniversitar,1.997533333333333,1.997533333333333,1.997533333,Gradația 0,0
2026-07-17,I,I CI 4-5-6,59,11.00501006.01.3,11.00501006.01.3,"Profesor; educator-puericultor; profesor-antrenor, studii superioare de scurtă durată grad didactic II","Profesor|educator-puericultor|profesor-antrenor, studii superioare de scurtă durată grad didactic II",,,,,,15-20 ani,SSD,5. Coeficienți de salarizare învăţământ preuniversitar,1.950293333333333,1.950293333333333,1.950293333,Gradația 0,0
2026-07-17,I,I CI 4-5-6,60,11.00501006.01.4,11.00501006.01.4,"Profesor; educator-puericultor; profesor-antrenor, studii superioare de scurtă durată grad didactic II","Profesor|educator-puericultor|profesor-antrenor, studii superioare de scurtă durată grad didactic II",,,,,,10-15 ani,SSD,5. Coeficienți de salarizare învăţământ preuniversitar,1.9395688888888887,1.9395688888888887,1.939568889,Gradația 0,0
2026-07-17,I,I CI 4-5-6,61,11.00501006.01.5,11.00501006.01.5,"Profesor; educator-puericultor; profesor-antrenor, studii superioare de scurtă durată grad didactic II","Profesor|educator-puericultor|profesor-antrenor, studii superioare de scurtă durată grad didactic II",,,,,,5-10 ani,SSD,5. Coeficienți de salarizare învăţământ preuniversitar,1.9085288888888885,1.9085288888888885,1.908528889,Gradația 0,0
2026-07-17,I,I CI 4-5-6,62,11.00501006.01.6,11.00501006.01.6,"Profesor; educator-puericultor; profesor-antrenor, studii superioare de scurtă durată grad didactic II","Profesor|educator-puericultor|profesor-antrenor, studii superioare de scurtă durată grad didactic II",,,,,,1-5 ani,SSD,5. Coeficienți de salarizare învăţământ preuniversitar,1.8774888888888885,1.8774888888888885,1.877488889,Gradația 0,0
2026-07-17,I,I CI 4-5-6,63,11.00501007.01.1,11.00501007.01.1,"Profesor; educator-puericultor; profesor-antrenor, studii superioare de scurtă durată grad didactic definitiv","Profesor|educator-puericultor|profesor-antrenor, studii superioare de scurtă durată grad didactic definitiv",,,,,,peste 25 de ani,SSD,5. Coeficienți de salarizare învăţământ preuniversitar,1.9775999999999996,1.9775999999999996,1.9776,Gradația 0,0
